ablation,lookback,duration
timeonly,20,163.712887799
timeonly,60,157.687368168
timeonly,120,150.587254019
timeonly,300,152.213967815
timeonly,600,156.785592576
rangeonly,20,4.937810382
rangeonly,60,6.392944505
rangeonly,120,9.302255599
rangeonly,300,16.502259514
rangeonly,600,28.77061581
noindex,20,203.806217682
noindex,60,248.244281329
noindex,120,332.841285103
noindex,300,582.495317373
noindex,600,1019.466136808
timerange,20,4.471919154
timerange,60,4.502762024
timerange,120,4.442373431
timerange,300,4.691135196
timerange,600,5.158612157
fishstore,60,1.965047
fishstore,120,3.885519
fishstore,300,6.977565
fishstore,600,12.76429
